slide_number,slide_title,image_filename,prompt,format_notes
11,Ultrasound,"1523_D4_S11_ultrasound.png","A clean medical illustration of an obstetric ultrasound scan showing a fetal profile in the second trimester. Professional medical imaging style. High-contrast grayscale with blue overlay.","PNG, 800x600px, <200KB, ADA: high-contrast, no text"
12,Amniocentesis,"1523_D4_S12_amnio.png","Medical diagram of amniocentesis procedure: a transabdominal needle guided by ultrasound into the amniotic sac, with fetus visible. Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
13,CVS,"1523_D4_S13_cvs.png","Medical diagram of chorionic villus sampling: a catheter through the cervix or a needle through the abdomen, sampling chorionic villi from the placenta. Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
14,NST Interpretation,"1523_D4_S14_nst.png","Medical diagram of a cardiotocography tracing: a strip showing fetal heart rate accelerations with movement markers. Clean medical monitoring style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
15,BPP Scoring,"1523_D4_S15_bpp.png","Medical diagram of biophysical profile components: fetal breathing, movement, tone, amniotic fluid, and NST, shown as five icons around a fetus. Clean medical style. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
16,Take Note Hypoxia Order,"1523_D4_S16_hypoxia.png","A clean medical diagram of a fetus with a descending arrow showing function loss order: tone first, then movement, then breathing, then FHR reactivity. Professional style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
17,Ethics in Testing,"1523_D4_S17_ethics.png","A clean medical illustration of a balance scale with a heart on one side and a document on the other, representing ethical decision-making. Professional blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
18,Take Note Patient Decides,"1523_D4_S18_decision.png","A professional illustration of a patient and healthcare provider in a counseling session, with a subtle document and pen. Respectful, empowering style. Diverse representation. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, diverse representation"
19,Integrated Case,"1523_D4_S19_case.png","A professional illustration of a pregnant patient in a clinical setting with a nurse monitoring blood pressure and fetal heart rate. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, diverse representation"
20,Case Actions,"1523_D4_S20_case-actions.png","A clean medical illustration of a priority checklist with a stethoscope and medication vial. Professional style. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
21,Key Terms Screening,"1523_D4_S21_terms-screen.png","A clean medical illustration of a glossary icon: a book with a bookmark and alphabet letter. Soft blue background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
22,Key Terms Diagnostic,"1523_D4_S22_terms-diag.png","A clean medical illustration of a diagnostic tool icon: a magnifying glass over a DNA helix. Professional blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
23,NGN Case Quad Screen,"1523_D4_S23_case-quad.png","A professional illustration of a patient receiving genetic counseling with a quad screen lab result. Diverse representation. Professional, empathetic style. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, diverse representation"
24,Case Counseling,"1523_D4_S24_case-counseling.png","A professional illustration of a genetic counselor with a patient, showing a balanced, nondirective approach. Diverse representation. Warm, respectful tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, diverse representation"
25,NGN Case Rh-Negative,"1523_D4_S25_case-rh.png","A clean medical illustration of a blood drop with Rh-negative symbol and a RhoGAM syringe. Professional style. High contrast. White background. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
26,Case Anti-D Plan,"1523_D4_S26_case-antid.png","A clean medical illustration of a RhoGAM injection timeline: a calendar showing 28 weeks and a postpartum clock. Professional blue tones. High contrast. White background.","PNG, 800x400px, <200KB, ADA: high-contrast, large labels"
27,Self-Check Q1,"1523_D4_S27_q1.png","A subtle medical background with a faint question mark overlaid on a soft gradient. Professional blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
28,Self-Check Q2,"1523_D4_S28_q2.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
29,Self-Check Q3,"1523_D4_S29_q3.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
30,Self-Check Q4,"1523_D4_S30_q4.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
31,Self-Check Q5,"1523_D4_S31_q5.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
32,Self-Check Q6,"1523_D4_S32_q6.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
33,Self-Check Q7,"1523_D4_S33_q7.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
34,Self-Check Q8,"1523_D4_S34_q8.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
35,Exit Ticket,"1523_D4_S35_exit.png","A clean exit icon: a door with a checkmark, medical-themed. Soft green and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
36,Answer Key Q1-Q4,"1523_D4_S36_answers1.png","A clean answer key icon: a checkmark inside a circle, with a subtle medical cross. Soft green tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
37,Answer Key Q5-Q8,"1523_D4_S37_answers2.png","Same as answer key 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
38,Quick Recall Part 1,"1523_D4_S38_recall1.png","A clean memory icon: a brain silhouette with a subtle lightning bolt. Soft gold and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
39,Quick Recall Part 2,"1523_D4_S39_recall2.png","Same as recall part 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
40,Quick Recall Part 3,"1523_D4_S40_recall3.png","Same as recall part 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
41,References,"1523_D4_S41_references.png","A clean books icon: a stack of medical textbooks with a bookmark. Professional academic style. Soft blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
