slide_number,slide_title,image_filename,prompt,format_notes
11,GDM Effects,"2514_D2_S11_gdm-effects.png","A medical illustration of a large-for-gestational-age infant with macrosomia markers, and a placenta with hormonal influences. Professional style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
12,Preterm Labor,"2514_D2_S12_preterm.png","A clean medical illustration of a premature infant in an incubator with monitoring equipment, and a subtle uterine contraction monitor. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
13,Preterm Medications,"2514_D2_S13_tocolytics.png","A clean medical illustration of preterm labor medications: betamethasone injections, nifedipine tablets, and a magnesium sulfate IV bag. Professional pharmaceutical style. High contrast. White background. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
14,PROM and PPROM,"2514_D2_S14_prom.png","Medical diagram of ruptured membranes: a fetus in the amniotic sac with a tear and fluid leaking, with a nitrazine strip turning blue. Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
15,Take Note No Digital Exam,"2514_D2_S15_no-digital.png","A medical warning illustration: a red X over a gloved hand performing a vaginal exam, with a sterile speculum shown as the correct alternative. Professional style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
16,Key Terms Hypertension,"2514_D2_S16_terms-htn.png","A clean medical illustration of a glossary icon: a book with a bookmark and alphabet letter. Soft blue background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
17,Key Terms Diabetes and Preterm,"2514_D2_S17_terms-dm.png","A clean medical illustration of a glossary icon with a glucose meter and a premature infant silhouette. Soft blue background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
18,NGN Case Preeclampsia,"2514_D2_S18_case-preeclampsia.png","A professional illustration of a pregnant patient with elevated blood pressure, right upper quadrant pain, and headache. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
19,Case Priority Actions,"2514_D2_S19_case-actions.png","A clean medical illustration of severe preeclampsia management: magnesium sulfate IV, antihypertensive medication, and delivery planning. Professional style. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
20,NGN Case PPROM,"2514_D2_S20_case-pprom.png","A professional illustration of a preterm patient with ruptured membranes, receiving corticosteroids and antibiotics, with fetal monitoring. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
21,Self-Check Q1,"2514_D2_S21_q1.png","A subtle medical background with a faint question mark overlaid on a soft gradient. Professional blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
22,Self-Check Q2,"2514_D2_S22_q2.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
23,Self-Check Q3,"2514_D2_S23_q3.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
24,Self-Check Q4,"2514_D2_S24_q4.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
25,Self-Check Q5,"2514_D2_S25_q5.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
26,Self-Check Q6,"2514_D2_S26_q6.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
27,Exit Ticket,"2514_D2_S27_exit.png","A clean exit icon: a door with a checkmark, medical-themed. Soft green and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
28,Answer Key Q1-Q3,"2514_D2_S28_answers1.png","A clean answer key icon: a checkmark inside a circle, with a subtle medical cross. Soft green tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
29,Answer Key Q4-Q6,"2514_D2_S29_answers2.png","Same as answer key 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
30,Quick Recall Part 1,"2514_D2_S30_recall1.png","A clean memory icon: a brain silhouette with a subtle lightning bolt. Soft gold and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
31,Quick Recall Part 2,"2514_D2_S31_recall2.png","Same as recall part 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
32,References,"2514_D2_S32_references.png","A clean books icon: a stack of medical textbooks with a bookmark. Professional academic style. Soft blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
