slide_number,slide_title,image_filename,prompt,format_notes
31,Key Terms Menopause,"1523_D1_S31_terms-meno.png","A clean medical illustration of a women's health icon: a female symbol with a subtle clock overlay representing aging. Soft purple and blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
32,NGN Case Adolescent,"1523_D1_S32_case-teen.png","A professional illustration of an adolescent patient in a school-based clinic setting with a nurse. Diverse representation. Warm, approachable tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, diverse representation"
33,Case Method Eligibility,"1523_D1_S33_eligibility.png","A clean medical decision-tree style illustration: a simplified flowchart showing options branching. Professional blue and white tones. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
34,Case Nursing Actions,"1523_D1_S34_nursing.png","A professional nursing illustration: hands holding a checklist and a stethoscope. Clean, professional style. Soft blue background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
35,Self-Check Q1,"1523_D1_S35_q1.png","A subtle medical background with a question mark icon overlaid on a soft gradient. The question mark is large and faint. Professional blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
36,Self-Check Q2,"1523_D1_S36_q2.png","Same as Q1 - subtle medical background with faint question mark. Professional blue tones. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
37,Self-Check Q3,"1523_D1_S37_q3.png","Same as Q1 - subtle medical background with faint question mark. Professional blue tones. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
38,Self-Check Q4,"1523_D1_S38_q4.png","Same as Q1 - subtle medical background with faint question mark. Professional blue tones. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
39,Self-Check Q5,"1523_D1_S39_q5.png","Same as Q1 - subtle medical background with faint question mark. Professional blue tones. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
40,Self-Check Q6,"1523_D1_S40_q6.png","Same as Q1 - subtle medical background with faint question mark. Professional blue tones. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
41,Self-Check Q7,"1523_D1_S41_q7.png","Same as Q1 - subtle medical background with faint question mark. Professional blue tones. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
42,Self-Check Q8,"1523_D1_S42_q8.png","Same as Q1 - subtle medical background with faint question mark. Professional blue tones. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
43,Exit Ticket,"1523_D1_S43_exit.png","A clean exit icon: a door with a checkmark, medical-themed. Soft green and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
44,Answer Key Q1-Q4,"1523_D1_S44_answers.png","A clean answer key icon: a checkmark inside a circle, with a subtle medical cross. Soft green tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
45,Answer Key Q5-Q8,"1523_D1_S45_answers2.png","Same as answer key 1 - clean checkmark icon. Soft green tones.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
46,Quick Recall Part 1,"1523_D1_S46_recall1.png","A clean memory icon: a brain silhouette with a subtle lightning bolt, representing rapid recall. Soft gold and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
47,Quick Recall Part 2,"1523_D1_S47_recall2.png","Same as recall part 1 - brain with lightning bolt.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
48,Quick Recall Part 3,"1523_D1_S48_recall3.png","Same as recall part 1 - brain with lightning bolt.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
49,Case Debrief,"1523_D1_S49_debrief.png","A clean reflection icon: a magnifying glass over a clipboard. Professional medical style. Soft blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
50,References,"1523_D1_S50_references.png","A clean books icon: a stack of medical textbooks with a bookmark. Professional academic style. Soft blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
