slide_number,slide_title,image_filename,prompt,format_notes
16,Take Note Blood Loss,"2514_D1_S16_bloodloss.png","A medical warning illustration: a blood drop with a subtle clock, showing that vital signs can be normal despite 30-40% blood loss. Professional red tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
17,DIC,"2514_D1_S17_dic.png","Medical diagram of disseminated intravascular coagulation: blood vessels with microclots and then bleeding, showing the consumption of clotting factors. Clean pathological illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
18,Abortion Medications,"2514_D1_S18_medications.png","A clean medical illustration of abortion-related medications: misoprostol, mifepristone, and a RhoGAM syringe. Professional pharmaceutical style. High contrast. White background. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
19,Hyperemesis Gravidarum,"2514_D1_S19_hyperemesis.png","A medical illustration of a pregnant woman with severe vomiting, an IV pole, and a weight scale showing significant loss. Professional, serious style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
20,Hyperemesis Management,"2514_D1_S20_hyperemesis-mgmt.png","A clean medical illustration of hyperemesis treatment steps: NPO sign, IV fluids bag, antiemetic medication, and gradual food reintroduction. Professional style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
21,Take Note NPO First,"2514_D1_S21_npo.png","A medical note icon: a clipboard with a bold NPO sign and a glass of water with a red X. Professional red and blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
22,PPH 4 Ts,"2514_D1_S22_pph.png","Medical diagram of postpartum hemorrhage causes: a uterus with four labeled icons representing Tone, Trauma, Tissue, and Thrombin. Clean anatomical style. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
23,Uterotonic Drug Card,"2514_D1_S23_uterotonics.png","A clean medical illustration of uterotonic medications: oxytocin, methylergonovine, carboprost, and misoprostol, each with a subtle warning icon for contraindications. Professional pharmaceutical style. High contrast. White background. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
24,Key Terms Hemorrhage,"2514_D1_S24_terms-hemorrhage.png","A clean medical illustration of a glossary icon: a book with a bookmark and alphabet letter. Soft blue background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
25,NGN Case PPH,"2514_D1_S25_case-pph.png","A professional illustration of a postpartum patient with a nurse performing fundal massage and monitoring vital signs. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, diverse representation"
26,Case Priority Actions,"2514_D1_S26_case-actions.png","A clean medical illustration of emergency hemorrhage response: fundal massage hands, an IV bag, and a uterotonic syringe. Professional style. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
27,Self-Check Q1,"2514_D1_S27_q1.png","A subtle medical background with a faint question mark overlaid on a soft gradient. Professional blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
28,Self-Check Q2,"2514_D1_S28_q2.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
29,Self-Check Q3,"2514_D1_S29_q3.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
30,Self-Check Q4,"2514_D1_S30_q4.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
31,Self-Check Q5,"2514_D1_S31_q5.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
32,Self-Check Q6,"2514_D1_S32_q6.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
33,Exit Ticket,"2514_D1_S33_exit.png","A clean exit icon: a door with a checkmark, medical-themed. Soft green and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
34,Answer Key Q1-Q3,"2514_D1_S34_answers1.png","A clean answer key icon: a checkmark inside a circle, with a subtle medical cross. Soft green tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
35,Answer Key Q4-Q6,"2514_D1_S35_answers2.png","Same as answer key 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
36,Quick Recall Part 1,"2514_D1_S36_recall1.png","A clean memory icon: a brain silhouette with a subtle lightning bolt. Soft gold and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
37,Quick Recall Part 2,"2514_D1_S37_recall2.png","Same as recall part 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
38,Quick Recall Part 3,"2514_D1_S38_recall3.png","Same as recall part 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
39,References,"2514_D1_S39_references.png","A clean books icon: a stack of medical textbooks with a bookmark. Professional academic style. Soft blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
